timestamp,session,Adj Close,Close,High,Low,Open,Volume,event_before,exact_event,event_after
2022-12-27 10:00:00-05:00,US Mid 10-15 ET,112.578125,112.578125,112.796875,112.578125,112.703125,54349.0,"S&P/Case-Shiller Home Price MoM OCT, S&P/Case-Shiller Home Price YoY OCT, House Price Index OCT, House Price Index MoM OCT, House Price Index YoY OCT",,Dallas Fed Manufacturing Index DEC
2022-12-27 11:00:00-05:00,US Mid 10-15 ET,112.40625,112.40625,112.640625,112.390625,112.578125,68047.0,Dallas Fed Manufacturing Index DEC,,"3-Month Bill Auction, 6-Month Bill Auction"
2022-12-27 12:00:00-05:00,US Mid 10-15 ET,112.359375,112.359375,112.453125,112.328125,112.390625,57709.0,"3-Month Bill Auction, 6-Month Bill Auction",,"2-Year Note Auction, 52-Week Bill Auction"
2022-12-27 13:00:00-05:00,US Mid 10-15 ET,112.359375,112.359375,112.453125,112.328125,112.34375,40192.0,"2-Year Note Auction, 52-Week Bill Auction",,Redbook YoY DEC/24
2022-12-27 14:00:00-05:00,US Mid 10-15 ET,112.34375,112.34375,112.421875,112.3125,112.359375,41636.0,"2-Year Note Auction, 52-Week Bill Auction",,Redbook YoY DEC/24
2022-12-27 15:00:00-05:00,US Close 15-17 ET,112.375,112.375,112.4375,112.328125,112.34375,39265.0,"2-Year Note Auction, 52-Week Bill Auction",,Redbook YoY DEC/24
2022-12-27 16:00:00-05:00,US Close 15-17 ET,112.46875,112.46875,112.484375,112.359375,112.375,26469.0,"2-Year Note Auction, 52-Week Bill Auction",,Redbook YoY DEC/24
2022-12-27 18:00:00-05:00,Asia 18-24 ET,112.4375,112.4375,112.484375,112.421875,112.484375,0.0,"2-Year Note Auction, 52-Week Bill Auction",,Redbook YoY DEC/24
2022-12-27 19:00:00-05:00,Asia 18-24 ET,112.359375,112.359375,112.453125,112.328125,112.453125,14284.0,"2-Year Note Auction, 52-Week Bill Auction",,Redbook YoY DEC/24
2022-12-27 20:00:00-05:00,Asia 18-24 ET,112.4375,112.4375,112.453125,112.34375,112.359375,15495.0,"2-Year Note Auction, 52-Week Bill Auction",,Redbook YoY DEC/24
2022-12-27 21:00:00-05:00,Asia 18-24 ET,112.390625,112.390625,112.453125,112.375,112.4375,6291.0,"2-Year Note Auction, 52-Week Bill Auction",,Redbook YoY DEC/24
2022-12-27 22:00:00-05:00,Asia 18-24 ET,112.375,112.375,112.4375,112.375,112.390625,7079.0,"2-Year Note Auction, 52-Week Bill Auction",,Redbook YoY DEC/24
2022-12-27 23:00:00-05:00,Asia 18-24 ET,112.390625,112.390625,112.40625,112.359375,112.375,5883.0,"2-Year Note Auction, 52-Week Bill Auction",,Redbook YoY DEC/24
