Datetime,Adj Close,Close,High,Low,Open,Volume,US/Eastern Timezone
2017-09-13,161.72,161.72,162.07,161.62,161.96,619.96K,2017-09-13 19:59:59-04:00
2017-09-14,161.56,161.56,162.05,161.37,161.71,733.99K,2017-09-14 19:59:59-04:00
2017-09-15,161.19,161.19,161.82,161.07,161.77,676.74K,2017-09-15 19:59:59-04:00
2017-09-18,160.94,160.94,161.42,160.86,161.26,553.50K,2017-09-18 19:59:59-04:00
2017-09-19,161.09,161.09,161.37,160.92,161.01,633.45K,2017-09-19 19:59:59-04:00
2017-09-20,161.32,161.32,161.41,160.76,161.07,530.23K,2017-09-20 19:59:59-04:00
2017-09-21,161.14,161.14,161.2,160.66,160.92,729.12K,2017-09-21 19:59:59-04:00
2017-09-22,161.12,161.12,161.26,160.88,161.19,511.18K,2017-09-22 19:59:59-04:00
2017-09-25,161.93,161.93,161.98,161.12,161.3,806.36K,2017-09-25 19:59:59-04:00
2017-09-26,161.71,161.71,161.95,161.62,161.93,566.00K,2017-09-26 19:59:59-04:00
2017-09-27,161.02,161.02,161.68,160.65,161.67,1.05M,2017-09-27 19:59:59-04:00
2017-09-28,160.8,160.8,160.96,160.24,160.56,767.97K,2017-09-28 19:59:59-04:00
2017-09-29,161.01,161.01,161.31,160.79,160.94,739.82K,2017-09-29 19:59:59-04:00
2017-10-02,161.22,161.22,161.37,160.66,160.81,712.86K,2017-10-02 19:59:59-04:00
2017-10-03,161.12,161.12,161.21,160.65,161.09,535.00K,2017-10-03 19:59:59-04:00
2017-10-04,161.32,161.32,161.82,161.16,161.23,958.42K,2017-10-04 19:59:59-04:00
2017-10-05,161.22,161.22,161.66,161.05,161.25,759.20K,2017-10-05 19:59:59-04:00
2017-10-06,161.16,161.16,161.3,160.59,161.27,842.25K,2017-10-06 19:59:59-04:00
2017-10-09,161.44,161.44,161.49,161.07,161.07,362.39K,2017-10-09 19:59:59-04:00
2017-10-10,161.48,161.48,161.68,161.13,161.4,756.46K,2017-10-10 19:59:59-04:00
2017-10-11,161.26,161.26,161.4,161.11,161.25,568.50K,2017-10-11 19:59:59-04:00
2017-10-12,161.45,161.45,161.57,161.16,161.25,587.52K,2017-10-12 19:59:59-04:00
2017-10-13,162.02,162.02,162.15,161.42,161.48,721.43K,2017-10-13 19:59:59-04:00
2017-10-16,162.46,162.46,162.55,161.9,162.04,604.03K,2017-10-16 19:59:59-04:00
2017-10-17,162.62,162.62,162.78,162.35,162.4,668.79K,2017-10-17 19:59:59-04:00
2017-10-18,162.18,162.18,162.77,162.13,162.66,720.83K,2017-10-18 19:59:59-04:00
2017-10-19,162.28,162.28,162.56,162.04,162.14,719.27K,2017-10-19 19:59:59-04:00
2017-10-20,161.44,161.44,162.04,161.35,162.02,859.42K,2017-10-20 19:59:59-04:00
2017-10-23,161.68,161.68,161.78,161.46,161.46,585.68K,2017-10-23 19:59:59-04:00
2017-10-24,161.11,161.11,161.71,161.01,161.68,701.23K,2017-10-24 19:59:59-04:00
2017-10-25,161.04,161.04,161.31,160.76,161.11,801.86K,2017-10-25 19:59:59-04:00
2017-10-26,161.61,161.61,162.0,160.95,161.21,954.97K,2017-10-26 19:59:59-04:00
2017-10-27,162.38,162.38,162.48,161.63,161.76,898.80K,2017-10-27 19:59:59-04:00
2017-10-30,162.71,162.71,162.75,162.25,162.5,585.57K,2017-10-30 19:59:59-04:00
2017-10-31,162.75,162.75,162.83,162.44,162.77,626.14K,2017-10-31 19:59:59-04:00
2017-11-01,162.63,162.63,162.79,162.37,162.61,590.44K,2017-11-01 19:59:59-04:00
2017-11-02,162.69,162.69,162.7,162.24,162.53,776.43K,2017-11-02 19:59:59-04:00
2017-11-03,162.74,162.74,162.99,162.61,162.65,570.32K,2017-11-03 19:59:59-04:00
2017-11-06,163.14,163.14,163.24,162.79,162.83,560.85K,2017-11-06 18:59:59-05:00
2017-11-07,163.28,163.28,163.39,162.95,163.1,725.91K,2017-11-07 18:59:59-05:00
2017-11-08,163.4,163.4,163.63,163.22,163.35,690.80K,2017-11-08 18:59:59-05:00
2017-11-09,162.58,162.58,163.4,162.48,163.27,940.68K,2017-11-09 18:59:59-05:00
2017-11-10,162.19,162.19,162.56,162.13,162.54,689.67K,2017-11-10 18:59:59-05:00
2017-11-13,162.08,162.08,162.55,162.02,162.24,502.93K,2017-11-13 18:59:59-05:00
2017-11-14,162.39,162.39,162.47,161.91,162.02,627.84K,2017-11-14 18:59:59-05:00
2017-11-15,162.64,162.64,163.08,162.49,162.53,783.77K,2017-11-15 18:59:59-05:00
2017-11-16,162.7,162.7,162.82,162.38,162.68,551.30K,2017-11-16 18:59:59-05:00
2017-11-17,162.86,162.86,162.94,162.5,162.75,435.20K,2017-11-17 18:59:59-05:00
2017-11-20,162.96,162.96,163.16,162.83,163.08,447.22K,2017-11-20 18:59:59-05:00
2017-11-21,163.08,163.08,163.27,162.87,162.93,663.05K,2017-11-21 18:59:59-05:00
2017-11-22,162.98,162.98,163.3,162.61,163.22,721.52K,2017-11-22 18:59:59-05:00
2017-11-23,163.06,163.06,163.11,162.89,163.01,254.62K,2017-11-23 18:59:59-05:00
2017-11-24,162.86,162.86,163.03,162.67,162.98,522.32K,2017-11-24 18:59:59-05:00
2017-11-27,163.11,163.11,163.21,162.76,162.85,639.56K,2017-11-27 18:59:59-05:00
2017-11-28,163.17,163.17,163.32,162.97,163.16,656.55K,2017-11-28 18:59:59-05:00
2017-11-29,162.48,162.48,163.1,162.4,163.05,950.51K,2017-11-29 18:59:59-05:00
2017-11-30,162.72,162.72,162.88,162.24,162.52,935.10K,2017-11-30 18:59:59-05:00
2017-12-01,163.8,163.8,163.92,162.59,162.73,1.40M,2017-12-01 18:59:59-05:00
2017-12-04,163.28,163.28,163.41,163.11,163.3,1.65M,2017-12-04 18:59:59-05:00
2017-12-05,163.48,163.48,163.66,163.1,163.23,1.64M,2017-12-05 18:59:59-05:00
2017-12-06,163.78,163.78,163.9,163.52,163.65,465.01K,2017-12-06 18:59:59-05:00
2017-12-07,163.67,163.67,163.88,163.51,163.65,29.73K,2017-12-07 18:59:59-05:00
2017-12-08,163.48,163.48,163.55,163.17,163.41,525.02K,2017-12-08 18:59:59-05:00
2017-12-11,163.64,163.64,163.78,163.37,163.47,442.50K,2017-12-11 18:59:59-05:00
2017-12-12,163.27,163.27,163.64,163.18,163.58,473.18K,2017-12-12 18:59:59-05:00
2017-12-13,163.27,163.27,163.48,162.91,163.37,591.06K,2017-12-13 18:59:59-05:00
2017-12-14,163.23,163.23,163.52,162.9,163.31,628.32K,2017-12-14 18:59:59-05:00
2017-12-15,163.47,163.47,163.69,163.37,163.48,449.99K,2017-12-15 18:59:59-05:00
2017-12-18,163.4,163.4,163.57,163.27,163.46,385.84K,2017-12-18 18:59:59-05:00
2017-12-19,162.38,162.38,163.37,162.15,163.3,617.13K,2017-12-19 18:59:59-05:00
2017-12-20,161.74,161.74,162.48,161.58,162.36,680.83K,2017-12-20 18:59:59-05:00
2017-12-21,161.71,161.71,161.83,161.5,161.78,395.27K,2017-12-21 18:59:59-05:00
2017-12-22,161.77,161.77,161.86,161.58,161.63,202.34K,2017-12-22 18:59:59-05:00
2017-12-27,162.29,162.29,162.37,161.63,161.63,248.66K,2017-12-27 18:59:59-05:00
2017-12-28,161.79,161.79,162.28,161.67,162.27,267.09K,2017-12-28 18:59:59-05:00
2017-12-29,161.68,161.68,161.86,161.46,161.76,250.04K,2017-12-29 18:59:59-05:00
2018-01-02,161.28,161.28,161.78,161.18,161.78,485.60K,2018-01-02 18:59:59-05:00
2018-01-03,161.58,161.58,161.82,161.2,161.26,604.24K,2018-01-03 18:59:59-05:00
2018-01-04,161.59,161.59,161.75,161.26,161.44,640.61K,2018-01-04 18:59:59-05:00
2018-01-05,161.59,161.59,161.87,161.5,161.7,467.09K,2018-01-05 18:59:59-05:00
2018-01-08,161.8,161.8,162.04,161.39,161.64,454.69K,2018-01-08 18:59:59-05:00
2018-01-09,161.3,161.3,162.0,161.2,161.67,719.57K,2018-01-09 18:59:59-05:00
2018-01-10,161.07,161.07,161.37,160.91,161.0,870.62K,2018-01-10 18:59:59-05:00
2018-01-11,160.31,160.31,161.55,160.27,161.38,1.06M,2018-01-11 18:59:59-05:00
2018-01-12,160.38,160.38,160.65,160.11,160.42,781.17K,2018-01-12 18:59:59-05:00
2018-01-15,160.34,160.34,160.76,160.3,160.59,328.10K,2018-01-15 18:59:59-05:00
2018-01-16,160.77,160.77,160.97,160.41,160.46,632.57K,2018-01-16 18:59:59-05:00
2018-01-17,160.82,160.82,160.97,160.65,160.78,514.18K,2018-01-17 18:59:59-05:00
