Date,"Volatility of Returns (Session:Asia 18-24 ET, Interval:15m, Symbol:ZN)",ZScore wrt All Days,ZScore wrt Given Days
2025-02-23,1.5,-0.8406705566712775,-0.8406705566712775
2025-02-24,3.5,-0.07150807451313944,-0.07150807451313944
2025-02-25,4.75,0.4092184768356969,0.4092184768356969
2025-02-26,3.0,-0.263798695052674,-0.263798695052674
2025-03-02,3.0,-0.263798695052674,-0.263798695052674
2025-03-03,5.75,0.793799717914766,0.793799717914766
2025-03-04,5.25,0.6015090973752314,0.6015090973752314
2025-03-05,5.75,0.793799717914766,0.793799717914766
2025-03-06,3.5,-0.07150807451313944,-0.07150807451313944
2025-03-09,4.0,0.1207825460263951,0.1207825460263951
2025-03-10,6.75,1.178380958993835,1.178380958993835
2025-03-11,2.75,-0.35994400532244125,-0.35994400532244125
2025-03-16,3.5,-0.07150807451313944,-0.07150807451313944
2025-03-17,2.75,-0.35994400532244125,-0.35994400532244125
2025-03-18,1.75,-0.7445252464015103,-0.7445252464015103
2025-03-19,2.25,-0.5522346258619758,-0.5522346258619758
2025-03-20,2.25,-0.5522346258619758,-0.5522346258619758
2025-03-23,3.0,-0.263798695052674,-0.263798695052674
2025-03-24,1.75,-0.7445252464015103,-0.7445252464015103
2025-03-25,2.25,-0.5522346258619758,-0.5522346258619758
2025-03-26,2.75,-0.35994400532244125,-0.35994400532244125
2025-03-30,5.75,0.793799717914766,0.793799717914766
2025-03-31,3.0,-0.263798695052674,-0.263798695052674
2025-04-01,3.25,-0.1676533847829067,-0.1676533847829067
2025-04-02,9.5,2.235979371961275,2.235979371961275
2025-04-03,9.25,2.139834061691508,2.139834061691508
2025-04-06,14.75,4.255030887626388,4.255030887626388
2025-04-07,8.75,1.9475434411519734,1.9475434411519734
2025-04-08,22.5,7.235535505989173,7.235535505989173
2025-04-09,10.75,2.7167059233101116,2.7167059233101116
2025-04-13,9.25,2.139834061691508,2.139834061691508
2025-04-14,4.25,0.21692785629616237,0.21692785629616237
2025-04-15,3.0,-0.263798695052674,-0.263798695052674
2025-04-16,5.25,0.6015090973752314,0.6015090973752314
2025-04-20,2.5,-0.4560893155922085,-0.4560893155922085
2025-04-21,3.0,-0.263798695052674,-0.263798695052674
2025-04-22,5.5,0.6976544076449988,0.6976544076449988
2025-04-23,3.25,-0.1676533847829067,-0.1676533847829067
2025-04-24,3.0,-0.263798695052674,-0.263798695052674
2025-04-27,2.25,-0.5522346258619758,-0.5522346258619758
2025-04-28,2.25,-0.5522346258619758,-0.5522346258619758
2025-04-29,2.5,-0.4560893155922085,-0.4560893155922085
2025-05-01,4.75,0.4092184768356969,0.4092184768356969
2025-05-04,3.5,-0.07150807451313944,-0.07150807451313944
2025-05-05,2.5,-0.4560893155922085,-0.4560893155922085
2025-05-06,3.5,-0.07150807451313944,-0.07150807451313944
2025-05-07,3.0,-0.263798695052674,-0.263798695052674
2025-05-08,3.0,-0.263798695052674,-0.263798695052674
2025-05-11,2.0,-0.648379936131743,-0.648379936131743
2025-05-12,3.0,-0.263798695052674,-0.263798695052674
2025-05-14,2.0,-0.648379936131743,-0.648379936131743
2025-05-18,5.25,0.6015090973752314,0.6015090973752314
2025-05-19,2.75,-0.35994400532244125,-0.35994400532244125
2025-05-20,5.25,0.6015090973752314,0.6015090973752314
2025-05-21,3.0,-0.263798695052674,-0.263798695052674
2025-05-22,2.75,-0.35994400532244125,-0.35994400532244125
2025-05-25,5.0,0.5053637871054641,0.5053637871054641
2025-05-26,3.25,-0.1676533847829067,-0.1676533847829067
2025-05-27,3.0,-0.263798695052674,-0.263798695052674
2025-05-28,6.5,1.0822356487240679,1.0822356487240679
2025-06-01,4.0,0.1207825460263951,0.1207825460263951
2025-06-02,2.25,-0.5522346258619758,-0.5522346258619758
2025-06-03,1.75,-0.7445252464015103,-0.7445252464015103
2025-06-04,2.25,-0.5522346258619758,-0.5522346258619758
2025-06-05,1.5,-0.8406705566712775,-0.8406705566712775
2025-06-08,3.0,-0.263798695052674,-0.263798695052674
2025-06-09,2.5,-0.4560893155922085,-0.4560893155922085
2025-06-10,2.5,-0.4560893155922085,-0.4560893155922085
2025-06-15,4.0,0.1207825460263951,0.1207825460263951
2025-06-16,3.75,0.024637235756627827,0.024637235756627827
2025-06-17,3.25,-0.1676533847829067,-0.1676533847829067
2025-06-18,3.25,-0.1676533847829067,-0.1676533847829067
2025-06-19,1.75,-0.7445252464015103,-0.7445252464015103
2025-06-22,5.25,0.6015090973752314,0.6015090973752314
2025-06-23,2.25,-0.5522346258619758,-0.5522346258619758
2025-06-24,1.25,-0.9368158669410449,-0.9368158669410449
2025-06-25,2.75,-0.35994400532244125,-0.35994400532244125
2025-06-29,2.5,-0.4560893155922085,-0.4560893155922085
2025-06-30,3.0,-0.263798695052674,-0.263798695052674
2025-07-01,1.5,-0.8406705566712775,-0.8406705566712775
2025-07-02,2.5,-0.4560893155922085,-0.4560893155922085
2025-07-06,2.0,-0.648379936131743,-0.648379936131743
2025-07-07,2.0,-0.648379936131743,-0.648379936131743
2025-07-08,1.75,-0.7445252464015103,-0.7445252464015103
2025-07-09,2.5,-0.4560893155922085,-0.4560893155922085
2025-07-10,2.75,-0.35994400532244125,-0.35994400532244125
2025-07-13,0.0,-1.4175424182898813,-1.4175424182898813
2025-07-14,2.25,-0.5522346258619758,-0.5522346258619758
2025-07-17,2.25,-0.5522346258619758,-0.5522346258619758
2025-07-20,0.0,-1.4175424182898813,-1.4175424182898813
2025-07-21,1.5,-0.8406705566712775,-0.8406705566712775
2025-07-22,2.0,-0.648379936131743,-0.648379936131743
2025-07-23,2.0,-0.648379936131743,-0.648379936131743
2025-07-24,1.25,-0.9368158669410449,-0.9368158669410449
