Date,"Volatility of Returns (Session:Asia 18-24 ET, Interval:1m, Symbol:ZB)",ZScore wrt All Days,ZScore wrt Given Days
2024-12-15,2.5,-0.7183143301531042,-0.7183143301531042
2024-12-16,3.0,-0.6434542050536161,-0.6434542050536161
2024-12-17,2.5,-0.7183143301531042,-0.7183143301531042
2024-12-18,5.0,-0.3440137046556633,-0.3440137046556633
2024-12-22,4.0,-0.49373395485463967,-0.49373395485463967
2024-12-23,2.5,-0.7183143301531042,-0.7183143301531042
2024-12-25,6.5,-0.11943332935719873,-0.11943332935719873
2024-12-26,4.5,-0.41887382975515147,-0.41887382975515147
2024-12-29,3.0,-0.6434542050536161,-0.6434542050536161
2024-12-30,5.0,-0.3440137046556633,-0.3440137046556633
2025-01-01,7.5,0.03028692084177764,0.03028692084177764
2025-01-02,3.0,-0.6434542050536161,-0.6434542050536161
2025-01-05,7.5,0.03028692084177764,0.03028692084177764
2025-01-06,5.0,-0.3440137046556633,-0.3440137046556633
2025-01-07,4.0,-0.49373395485463967,-0.49373395485463967
2025-01-08,6.5,-0.11943332935719873,-0.11943332935719873
2025-01-09,4.5,-0.41887382975515147,-0.41887382975515147
2025-01-12,7.5,0.03028692084177764,0.03028692084177764
2025-01-16,2.5,-0.7183143301531042,-0.7183143301531042
2025-01-19,3.0,-0.6434542050536161,-0.6434542050536161
2025-01-20,12.5,0.7788881718366595,0.7788881718366595
2025-01-21,3.5,-0.5685940799541279,-0.5685940799541279
2025-01-22,3.0,-0.6434542050536161,-0.6434542050536161
2025-01-23,5.0,-0.3440137046556633,-0.3440137046556633
2025-01-26,10.5,0.47944767143870676,0.47944767143870676
2025-01-27,5.0,-0.3440137046556633,-0.3440137046556633
2025-01-28,4.0,-0.49373395485463967,-0.49373395485463967
2025-01-29,4.5,-0.41887382975515147,-0.41887382975515147
2025-02-02,17.5,1.5274894228315414,1.5274894228315414
2025-02-03,4.0,-0.49373395485463967,-0.49373395485463967
2025-02-04,5.0,-0.3440137046556633,-0.3440137046556633
2025-02-05,3.5,-0.5685940799541279,-0.5685940799541279
2025-02-06,3.5,-0.5685940799541279,-0.5685940799541279
2025-02-09,4.5,-0.41887382975515147,-0.41887382975515147
2025-02-11,6.5,-0.11943332935719873,-0.11943332935719873
2025-02-16,5.5,-0.26915357955617514,-0.26915357955617514
2025-02-17,6.5,-0.11943332935719873,-0.11943332935719873
2025-02-18,2.5,-0.7183143301531042,-0.7183143301531042
2025-02-19,4.0,-0.49373395485463967,-0.49373395485463967
2025-02-20,5.0,-0.3440137046556633,-0.3440137046556633
2025-02-23,4.0,-0.49373395485463967,-0.49373395485463967
2025-02-24,7.0,-0.044573204257710546,-0.044573204257710546
2025-02-25,9.5,0.32972742123973037,0.32972742123973037
2025-02-26,9.5,0.32972742123973037,0.32972742123973037
2025-03-02,7.5,0.03028692084177764,0.03028692084177764
2025-03-03,11.5,0.6291679216376831,0.6291679216376831
2025-03-04,12.5,0.7788881718366595,0.7788881718366595
2025-03-05,11.0,0.554307796538195,0.554307796538195
2025-03-06,7.5,0.03028692084177764,0.03028692084177764
2025-03-09,9.0,0.2548672961402422,0.2548672961402422
2025-03-11,7.0,-0.044573204257710546,-0.044573204257710546
2025-03-16,6.5,-0.11943332935719873,-0.11943332935719873
2025-03-17,4.5,-0.41887382975515147,-0.41887382975515147
2025-03-18,4.0,-0.49373395485463967,-0.49373395485463967
2025-03-19,8.5,0.180007171040754,0.180007171040754
2025-03-20,4.0,-0.49373395485463967,-0.49373395485463967
2025-03-23,5.0,-0.3440137046556633,-0.3440137046556633
2025-03-24,2.5,-0.7183143301531042,-0.7183143301531042
2025-03-25,5.0,-0.3440137046556633,-0.3440137046556633
2025-03-26,5.0,-0.3440137046556633,-0.3440137046556633
2025-03-30,10.5,0.47944767143870676,0.47944767143870676
2025-03-31,5.0,-0.3440137046556633,-0.3440137046556633
2025-04-01,6.5,-0.11943332935719873,-0.11943332935719873
2025-04-02,16.0,1.302909047533077,1.302909047533077
2025-04-03,16.0,1.302909047533077,1.302909047533077
2025-04-06,27.0,2.949831799721817,2.949831799721817
2025-04-07,12.5,0.7788881718366595,0.7788881718366595
2025-04-08,51.0,6.54311780449725,6.54311780449725
2025-04-09,23.5,2.4258109240253996,2.4258109240253996
2025-04-13,15.5,1.2280489224335887,1.2280489224335887
2025-04-15,5.5,-0.26915357955617514,-0.26915357955617514
2025-04-16,8.5,0.180007171040754,0.180007171040754
2025-04-20,10.5,0.47944767143870676,0.47944767143870676
2025-04-21,6.0,-0.19429345445668691,-0.19429345445668691
2025-04-22,10.0,0.40458754633921856,0.40458754633921856
2025-04-23,6.0,-0.19429345445668691,-0.19429345445668691
2025-04-24,5.0,-0.3440137046556633,-0.3440137046556633
2025-04-27,7.5,0.03028692084177764,0.03028692084177764
2025-04-28,3.0,-0.6434542050536161,-0.6434542050536161
2025-04-29,6.0,-0.19429345445668691,-0.19429345445668691
2025-05-01,8.0,0.10514704594126582,0.10514704594126582
2025-05-04,9.5,0.32972742123973037,0.32972742123973037
2025-05-05,6.5,-0.11943332935719873,-0.11943332935719873
2025-05-06,7.5,0.03028692084177764,0.03028692084177764
2025-05-07,5.0,-0.3440137046556633,-0.3440137046556633
