Date,"Volatility of Returns (Session:US Open 7-10 ET, Interval:1m, Symbol:ZF)",ZScore wrt All Days,ZScore wrt Given Days
2024-12-31,2.0,-0.6508741722224413,-0.6508741722224413
2025-01-02,2.5,-0.38835692977194697,-0.38835692977194697
2025-01-03,1.5,-0.9133914146729356,-0.9133914146729356
2025-01-06,2.625,-0.32272761915932335,-0.32272761915932335
2025-01-07,1.25,-1.0446500358981827,-1.0446500358981827
2025-01-08,3.75,0.2679361763542889,0.2679361763542889
2025-01-09,1.5,-0.9133914146729356,-0.9133914146729356
2025-01-13,2.625,-0.32272761915932335,-0.32272761915932335
2025-01-16,3.125,-0.060210376708829026,-0.060210376708829026
2025-01-17,3.5,0.13667755512904173,0.13667755512904173
2025-01-20,4.5,0.6617120400300304,0.6617120400300304
2025-01-21,2.125,-0.5852448616098177,-0.5852448616098177
2025-01-22,2.0,-0.6508741722224413,-0.6508741722224413
2025-01-23,2.625,-0.32272761915932335,-0.32272761915932335
2025-01-24,1.0,-1.1759086571234298,-1.1759086571234298
2025-01-27,4.0,0.3991947975795361,0.3991947975795361
2025-01-28,1.75,-0.7821327934476885,-0.7821327934476885
2025-01-29,1.375,-0.9790207252855592,-0.9790207252855592
2025-02-03,3.0,-0.12583968732145262,-0.12583968732145262
2025-02-04,1.875,-0.7165034828350648,-0.7165034828350648
2025-02-05,1.25,-1.0446500358981827,-1.0446500358981827
2025-02-06,2.25,-0.5196155509971941,-0.5196155509971941
2025-02-10,2.5,-0.38835692977194697,-0.38835692977194697
2025-02-11,1.25,-1.0446500358981827,-1.0446500358981827
2025-02-14,4.75,0.7929706612552776,0.7929706612552776
2025-02-17,0.625,-1.3727965889613007,-1.3727965889613007
2025-02-18,1.0,-1.1759086571234298,-1.1759086571234298
2025-02-19,2.0,-0.6508741722224413,-0.6508741722224413
2025-02-20,1.875,-0.7165034828350648,-0.7165034828350648
2025-02-21,1.625,-0.847762104060312,-0.847762104060312
2025-02-24,2.875,-0.19146899793407618,-0.19146899793407618
2025-02-25,2.625,-0.32272761915932335,-0.32272761915932335
2025-02-26,4.5,0.6617120400300304,0.6617120400300304
2025-03-03,4.875,0.8585999718679012,0.8585999718679012
2025-03-04,6.75,1.843039631057255,1.843039631057255
2025-03-05,5.875,1.3836344567688899,1.3836344567688899
2025-03-06,7.5,2.2368154947329963,2.2368154947329963
2025-03-10,4.125,0.46482410819215964,0.46482410819215964
2025-03-11,5.375,1.1211172143183954,1.1211172143183954
2025-03-14,3.875,0.33356548696691246,0.33356548696691246
2025-03-17,6.875,1.9086689416698785,1.9086689416698785
2025-03-18,2.5,-0.38835692977194697,-0.38835692977194697
2025-03-19,3.125,-0.060210376708829026,-0.060210376708829026
2025-03-20,2.875,-0.19146899793407618,-0.19146899793407618
2025-03-21,2.5,-0.38835692977194697,-0.38835692977194697
2025-03-24,1.25,-1.0446500358981827,-1.0446500358981827
2025-03-25,2.625,-0.32272761915932335,-0.32272761915932335
2025-03-26,1.75,-0.7821327934476885,-0.7821327934476885
2025-03-31,3.25,0.005418933903794561,0.005418933903794561
2025-04-01,3.75,0.2679361763542889,0.2679361763542889
2025-04-02,2.75,-0.2570983085466998,-0.2570983085466998
2025-04-03,8.125,2.564962047796114,2.564962047796114
2025-04-04,8.625,2.827479290246609,2.827479290246609
2025-04-07,8.0,2.4993327371834906,2.4993327371834906
2025-04-08,9.75,3.418143085760221,3.418143085760221
2025-04-09,8.75,2.8931086008592324,2.8931086008592324
2025-04-14,3.625,0.20230686574166531,0.20230686574166531
2025-04-15,4.875,0.8585999718679012,0.8585999718679012
2025-04-16,2.875,-0.19146899793407618,-0.19146899793407618
2025-04-17,3.75,0.2679361763542889,0.2679361763542889
2025-04-21,4.0,0.3991947975795361,0.3991947975795361
2025-04-22,1.75,-0.7821327934476885,-0.7821327934476885
2025-04-23,2.25,-0.5196155509971941,-0.5196155509971941
2025-04-24,3.5,0.13667755512904173,0.13667755512904173
2025-04-25,1.875,-0.7165034828350648,-0.7165034828350648
