Date,"Volatility of Returns (Session:US Close 15-17 ET, Interval:1m, Symbol:ZF)",ZScore wrt All Days,ZScore wrt Given Days
2024-12-23,1.0,-0.512837658013351,-0.512837658013351
2024-12-26,0.625,-0.7648286841754567,-0.7648286841754567
2024-12-27,0.875,-0.5968346667340529,-0.5968346667340529
2024-12-30,1.125,-0.4288406492926492,-0.4288406492926492
2024-12-31,0.5,-0.8488256928961585,-0.8488256928961585
2025-01-02,1.0,-0.512837658013351,-0.512837658013351
2025-01-03,0.75,-0.6808316754547548,-0.6808316754547548
2025-01-06,2.0,0.1591384117522639,0.1591384117522639
2025-01-07,1.125,-0.4288406492926492,-0.4288406492926492
2025-01-08,2.0,0.1591384117522639,0.1591384117522639
2025-01-16,1.25,-0.34484364057194733,-0.34484364057194733
2025-01-17,1.751953125,-0.0075431524278788695,-0.0075431524278788695
2025-01-21,1.25,-0.34484364057194733,-0.34484364057194733
2025-01-22,1.625,-0.0928526144098417,-0.0928526144098417
2025-01-23,0.875,-0.5968346667340529,-0.5968346667340529
2025-01-27,1.125,-0.4288406492926492,-0.4288406492926492
2025-01-28,1.5,-0.1768496231305436,-0.1768496231305436
2025-01-29,2.0,0.1591384117522639,0.1591384117522639
2025-02-03,2.0,0.1591384117522639,0.1591384117522639
2025-02-04,1.0,-0.512837658013351,-0.512837658013351
2025-02-05,1.125,-0.4288406492926492,-0.4288406492926492
2025-02-06,0.625,-0.7648286841754567,-0.7648286841754567
2025-02-11,0.375,-0.9328227016168604,-0.9328227016168604
2025-02-14,0.5,-0.8488256928961585,-0.8488256928961585
2025-02-18,1.25,-0.34484364057194733,-0.34484364057194733
2025-02-19,0.875,-0.5968346667340529,-0.5968346667340529
2025-02-20,0.75,-0.6808316754547548,-0.6808316754547548
2025-02-24,1.0,-0.512837658013351,-0.512837658013351
2025-02-25,0.875,-0.5968346667340529,-0.5968346667340529
2025-02-26,3.875,1.419093542562792,1.419093542562792
2025-03-03,6.125,2.9310396995354258,2.9310396995354258
2025-03-04,8.125,4.274991839066655,4.274991839066655
2025-03-05,4.75,2.007072603607705,2.007072603607705
2025-03-06,3.875,1.419093542562792,1.419093542562792
2025-03-11,1.375,-0.26084663185124546,-0.26084663185124546
2025-03-17,1.0,-0.512837658013351,-0.512837658013351
2025-03-18,1.0,-0.512837658013351,-0.512837658013351
2025-03-19,3.625,1.2510995251213883,1.2510995251213883
2025-03-20,1.0,-0.512837658013351,-0.512837658013351
2025-03-21,0.75,-0.6808316754547548,-0.6808316754547548
2025-03-24,0.625,-0.7648286841754567,-0.7648286841754567
2025-03-25,1.125,-0.4288406492926492,-0.4288406492926492
2025-03-26,1.375,-0.26084663185124546,-0.26084663185124546
2025-03-31,2.625,0.5791234553557733,0.5791234553557733
2025-04-01,1.625,-0.0928526144098417,-0.0928526144098417
2025-04-02,1.375,-0.26084663185124546,-0.26084663185124546
2025-04-03,2.75,0.6631204640764752,0.6631204640764752
2025-04-07,6.625,3.267027734418233,3.267027734418233
2025-04-08,5.625,2.595051664652618,2.595051664652618
2025-04-09,7.375,3.7710097867424444,3.7710097867424444
2025-04-15,2.0,0.1591384117522639,0.1591384117522639
2025-04-16,2.25,0.32713242919366764,0.32713242919366764
2025-04-17,1.25,-0.34484364057194733,-0.34484364057194733
2025-04-21,1.625,-0.0928526144098417,-0.0928526144098417
2025-04-22,1.5,-0.1768496231305436,-0.1768496231305436
2025-04-23,1.625,-0.0928526144098417,-0.0928526144098417
2025-04-24,0.625,-0.7648286841754567,-0.7648286841754567
2025-04-28,0.875,-0.5968346667340529,-0.5968346667340529
2025-04-29,0.75,-0.6808316754547548,-0.6808316754547548
2025-05-01,2.0,0.1591384117522639,0.1591384117522639
2025-05-05,0.875,-0.5968346667340529,-0.5968346667340529
2025-05-06,1.125,-0.4288406492926492,-0.4288406492926492
2025-05-07,1.5,-0.1768496231305436,-0.1768496231305436
2025-05-09,1.375,-0.26084663185124546,-0.26084663185124546
