Date,"Volatility of Returns (Session:All day, Interval:1m, Symbol:ZB)",ZScore wrt All Days,ZScore wrt Given Days
2025-02-17,7.0,-0.8293662047199256,-0.8293662047199256
2025-02-18,11.5,-0.47542272486769843,-0.47542272486769843
2025-02-19,11.5,-0.47542272486769843,-0.47542272486769843
2025-02-20,9.5,-0.632730938135355,-0.632730938135355
2025-02-21,21.0,0.27179128815367004,0.27179128815367004
2025-02-23,4.0,-1.0653285246214104,-1.0653285246214104
2025-02-24,17.0,-0.042825138381642994,-0.042825138381642994
2025-02-25,23.0,0.4290995014213266,0.4290995014213266
2025-02-26,19.0,0.11448307488601353,0.11448307488601353
2025-03-02,7.5,-0.7900391514030115,-0.7900391514030115
2025-03-03,34.0,1.2942946743934376,1.2942946743934376
2025-03-04,35.5,1.41227583434418,1.41227583434418
2025-03-05,27.5,0.7830429812735538,0.7830429812735538
2025-03-06,19.0,0.11448307488601353,0.11448307488601353
