Date,"Volatility of Returns (Session:US Mid 10-15 ET, Interval:1h, Symbol:ZN)",ZScore wrt All Days,ZScore wrt Given Days
2023-07-11,4.25,-0.3151957702072304,-0.3151957702072304
2023-07-17,4.5,-0.22768976218008494,-0.22768976218008494
2023-07-18,5.75,0.2098402779556423,0.2098402779556423
2023-07-19,6.0,0.2973462859827878,0.2973462859827878
2023-07-20,5.75,0.2098402779556423,0.2098402779556423
2023-07-21,2.75,-0.8402318183701031,-0.8402318183701031
2023-07-24,5.0,-0.05267774612579403,-0.05267774612579403
2023-07-25,4.0,-0.4027017782343758,-0.4027017782343758
2023-07-26,8.25,1.0849003582270969,1.0849003582270969
2023-07-31,3.75,-0.4902077862615213,-0.4902077862615213
2023-08-01,2.25,-1.015243834424394,-1.015243834424394
2023-08-02,6.75,0.5598643100642241,0.5598643100642241
2023-08-03,4.75,-0.1401837541529395,-0.1401837541529395
