Date,"Volatility of Returns (Session:Asia 18-24 ET, Interval:1h, Symbol:ZN)",ZScore wrt All Days,ZScore wrt Given Days
2023-06-05,3.25,-0.08556518087717548,-0.08556518087717548
2023-06-06,2.0,-0.5971920356066782,-0.5971920356066782
2023-06-07,2.5,-0.3925412937148771,-0.3925412937148771
2023-06-08,2.5,-0.3925412937148771,-0.3925412937148771
2023-06-11,3.25,-0.08556518087717548,-0.08556518087717548
2023-06-15,4.0,0.2214109319605262,0.2214109319605262
2023-06-18,2.0,-0.5971920356066782,-0.5971920356066782
2023-06-20,3.0,-0.18789055182307604,-0.18789055182307604
2023-06-21,1.5,-0.8018427774984793,-0.8018427774984793
2023-06-22,2.0,-0.5971920356066782,-0.5971920356066782
2023-06-25,2.25,-0.4948666646607777,-0.4948666646607777
2023-06-26,2.5,-0.3925412937148771,-0.3925412937148771
2023-06-27,1.75,-0.6995174065525788,-0.6995174065525788
