Date,"Volatility of Returns (Session:London 0-7 ET, Interval:1m, Symbol:ZT)",ZScore wrt All Days,ZScore wrt Given Days
2025-03-21,1.125,-0.08835221209820864,-0.08835221209820864
2025-03-24,0.5625,-0.5882278961850413,-0.5882278961850413
2025-03-25,1.0,-0.1994356974508381,-0.1994356974508381
2025-03-26,0.6875,-0.4771444108324118,-0.4771444108324118
2025-03-31,1.5,0.2448982439596798,0.2448982439596798
2025-04-01,1.0,-0.1994356974508381,-0.1994356974508381
2025-04-02,1.5,0.2448982439596798,0.2448982439596798
2025-04-03,1.8125,0.5226069573412535,0.5226069573412535
2025-04-04,4.9375,3.2996940911569905,3.2996940911569905
2025-04-07,5.9375,4.188361973978027,4.188361973978027
2025-04-08,2.0625,0.7447739280465124,0.7447739280465124
2025-04-09,2.6875,1.30019135480966,1.30019135480966
2025-04-14,1.5625,0.3004399866359945,0.3004399866359945
