Date,"Volatility of Returns (Session:All day, Interval:1m, Symbol:ZN)",ZScore wrt All Days,ZScore wrt Given Days
2025-02-19,7.0,-0.21120284250173849,-0.21120284250173849
2025-02-20,5.0,-0.6652424334305858,-0.6652424334305858
2025-02-23,1.5,-1.4598117175560685,-1.4598117175560685
2025-02-24,9.75,0.41310159502542654,0.41310159502542654
2025-02-25,11.25,0.753631288222062,0.753631288222062
2025-02-26,10.75,0.6401213904898502,0.6401213904898502
2025-03-02,3.0,-1.119282024359433,-1.119282024359433
2025-03-03,17.0,2.0589951121424983,2.0589951121424983
2025-03-04,19.0,2.5130347030713454,2.5130347030713454
2025-03-05,16.0,1.8319753166780746,1.8319753166780746
2025-03-06,10.25,0.5266114927576384,0.5266114927576384
2025-03-09,4.0,-0.8922622288950094,-0.8922622288950094
2025-03-11,13.25,1.2076708791509092,1.2076708791509092
