Date,"Volatility of Returns (Session:US Mid 10-15 ET, Interval:15m, Symbol:ZN)",ZScore wrt All Days,ZScore wrt Given Days
2025-03-20,5.5,0.435622574467301,0.435622574467301
2025-03-21,5.0,0.26166120565575773,0.26166120565575773
2025-03-24,2.75,-0.5211649539961871,-0.5211649539961871
2025-03-25,3.5,-0.2602229007788722,-0.2602229007788722
2025-03-26,4.0,-0.0862615319673289,-0.0862615319673289
2025-03-31,5.75,0.5226032588730727,0.5226032588730727
2025-04-01,4.75,0.17468052124998606,0.17468052124998606
2025-04-02,10.25,2.0882555781769625,2.0882555781769625
2025-04-03,8.75,1.5663714717423325,1.5663714717423325
2025-04-04,17.25,4.523714741538569,4.523714741538569
2025-04-07,9.75,1.9142942093654192,1.9142942093654192
2025-04-08,12.0,2.697120369017364,2.697120369017364
2025-04-09,10.75,2.262216946988506,2.262216946988506
2025-04-14,8.0,1.3054294185250175,1.3054294185250175
