Date,"Volatility of Returns (Session:All day, Interval:1h, Symbol:ZN)",ZScore wrt All Days,ZScore wrt Given Days
2023-05-14,2.0,-1.3463330472819846,-1.3463330472819846
2023-05-15,5.25,-0.7268489423463992,-0.7268489423463992
2023-05-16,13.75,0.8933402551774394,0.8933402551774394
2023-05-17,9.75,0.13089827987210365,0.13089827987210365
2023-05-18,13.0,0.7503823848076889,0.7503823848076889
2023-05-19,12.25,0.6074245144379385,0.6074245144379385
2023-05-21,3.75,-1.0127646830859,-1.0127646830859
2023-05-22,9.75,0.13089827987210365,0.13089827987210365
2023-05-23,9.75,0.13089827987210365,0.13089827987210365
2023-05-24,11.0,0.3691613971550211,0.3691613971550211
2023-05-28,4.75,-0.8221541892595661,-0.8221541892595661
2023-05-30,26.0,3.2283188045500304,3.2283188045500304
2023-05-31,7.75,-0.25032270778056426,-0.25032270778056426
2023-06-01,13.0,0.7503823848076889,0.7503823848076889
