Date,"Volatility of Returns (Session:All day, Interval:1d, Symbol:ZN)",ZScore wrt All Days,ZScore wrt Given Days
2001-01-22,7.499267578125,-0.4793838224627563,-0.4793838224627563
2001-01-23,12.7503662109375,0.42780810218919724,0.42780810218919724
2001-01-24,7.75048828125,-0.43598235371938227,-0.43598235371938227
2001-01-25,14.7503662109375,0.7733327202122487,0.7733327202122487
2001-01-26,9.5008544921875,-0.13358504550206443,-0.13358504550206443
2001-01-29,7.0,-0.5656384420742236,-0.5656384420742236
2001-01-30,12.2496337890625,0.3413004127891388,0.3413004127891388
2001-01-31,11.2496337890625,0.16853810377761302,0.16853810377761302
2001-02-01,9.0,-0.22011382405117214,-0.22011382405117214
2001-02-02,10.7503662109375,0.08228348416614571,0.08228348416614571
2001-02-05,6.0,-0.7384007510857494,-0.7384007510857494
2001-02-06,7.7503662109375,-0.43600344286843157,-0.43600344286843157
