Date,"Volatility of Returns (Session:Asia 18-24 ET, Interval:1m, Symbol:ZF)",ZScore wrt All Days,ZScore wrt Given Days
2024-12-05,3.25,0.3446342981801751,0.3446342981801751
2024-12-08,1.0,-0.6431233525750674,-0.6431233525750674
2024-12-09,0.875,-0.6979987776170252,-0.6979987776170252
2024-12-10,1.5,-0.42362165240723565,-0.42362165240723565
2024-12-15,1.5,-0.42362165240723565,-0.42362165240723565
2024-12-16,1.0,-0.6431233525750674,-0.6431233525750674
2024-12-17,1.125,-0.5882479275331094,-0.5882479275331094
2024-12-18,2.0,-0.20411995223940402,-0.20411995223940402
2024-12-22,1.25,-0.5333725024911515,-0.5333725024911515
2024-12-23,0.75,-0.7528742026589832,-0.7528742026589832
2024-12-25,2.0,-0.20411995223940402,-0.20411995223940402
2024-12-26,1.125,-0.5882479275331094,-0.5882479275331094
2024-12-29,0.875,-0.6979987776170252,-0.6979987776170252
2024-12-30,1.25,-0.5333725024911515,-0.5333725024911515
2025-01-01,2.0,-0.20411995223940402,-0.20411995223940402
2025-01-02,1.125,-0.5882479275331094,-0.5882479275331094
2025-01-05,1.875,-0.2589953772813619,-0.2589953772813619
2025-01-06,1.5,-0.42362165240723565,-0.42362165240723565
2025-01-07,1.25,-0.5333725024911515,-0.5333725024911515
2025-01-08,1.75,-0.3138708023233198,-0.3138708023233198
2025-01-09,1.375,-0.47849707744919356,-0.47849707744919356
2025-01-12,2.625,0.07025717297038556,0.07025717297038556
2025-01-13,1.125,-0.5882479275331094,-0.5882479275331094
2025-01-16,0.875,-0.6979987776170252,-0.6979987776170252
2025-01-19,1.25,-0.5333725024911515,-0.5333725024911515
2025-01-20,3.5,0.45438514826409093,0.45438514826409093
2025-01-21,1.5,-0.42362165240723565,-0.42362165240723565
2025-01-22,0.875,-0.6979987776170252,-0.6979987776170252
2025-01-23,2.25,-0.09436910215548819,-0.09436910215548819
2025-01-26,2.125,-0.1492445271974461,-0.1492445271974461
2025-01-27,1.875,-0.2589953772813619,-0.2589953772813619
2025-01-28,1.5,-0.42362165240723565,-0.42362165240723565
2025-01-29,1.125,-0.5882479275331094,-0.5882479275331094
2025-02-02,5.5,1.3323919489354175,1.3323919489354175
2025-02-03,1.125,-0.5882479275331094,-0.5882479275331094
2025-02-04,1.25,-0.5333725024911515,-0.5333725024911515
2025-02-05,1.125,-0.5882479275331094,-0.5882479275331094
2025-02-06,1.125,-0.5882479275331094,-0.5882479275331094
2025-02-09,1.625,-0.36874622736527773,-0.36874622736527773
2025-02-10,1.125,-0.5882479275331094,-0.5882479275331094
2025-02-11,1.875,-0.2589953772813619,-0.2589953772813619
2025-02-16,1.5,-0.42362165240723565,-0.42362165240723565
2025-02-17,1.75,-0.3138708023233198,-0.3138708023233198
2025-02-18,1.0,-0.6431233525750674,-0.6431233525750674
2025-02-19,1.5,-0.42362165240723565,-0.42362165240723565
2025-02-20,1.75,-0.3138708023233198,-0.3138708023233198
2025-02-23,0.875,-0.6979987776170252,-0.6979987776170252
2025-02-24,2.375,-0.039493677113530266,-0.039493677113530266
2025-02-25,3.25,0.3446342981801751,0.3446342981801751
2025-02-26,4.25,0.7836376985158384,0.7836376985158384
2025-03-02,4.75,1.00313939868367,1.00313939868367
2025-03-03,7.5,2.2103987496067443,2.2103987496067443
2025-03-04,6.0,1.5518936491032491,1.5518936491032491
2025-03-05,6.0,1.5518936491032491,1.5518936491032491
2025-03-06,4.125,0.7287622734738806,0.7287622734738806
2025-03-09,5.25,1.2226410988515017,1.2226410988515017
2025-03-10,4.5,0.8933885485997543,0.8933885485997543
2025-03-11,1.75,-0.3138708023233198,-0.3138708023233198
2025-03-16,4.25,0.7836376985158384,0.7836376985158384
2025-03-17,1.75,-0.3138708023233198,-0.3138708023233198
2025-03-18,1.125,-0.5882479275331094,-0.5882479275331094
2025-03-19,1.25,-0.5333725024911515,-0.5333725024911515
2025-03-20,1.25,-0.5333725024911515,-0.5333725024911515
2025-03-23,2.125,-0.1492445271974461,-0.1492445271974461
2025-03-24,1.25,-0.5333725024911515,-0.5333725024911515
2025-03-25,1.25,-0.5333725024911515,-0.5333725024911515
2025-03-26,2.0,-0.20411995223940402,-0.20411995223940402
2025-03-30,3.875,0.6190114233899647,0.6190114233899647
2025-03-31,1.5,-0.42362165240723565,-0.42362165240723565
2025-04-01,2.125,-0.1492445271974461,-0.1492445271974461
2025-04-02,6.625,1.8262707743130389,1.8262707743130389
2025-04-03,6.125,1.6067690741452072,1.6067690741452072
2025-04-06,15.5,5.722425952292051,5.722425952292051
2025-04-07,6.5,1.7713953492710808,1.7713953492710808
2025-04-08,12.625,4.4602911763270185,4.4602911763270185
2025-04-09,6.75,1.8811461993549967,1.8811461993549967
2025-04-13,6.625,1.8262707743130389,1.8262707743130389
2025-04-14,2.5,0.015381747928427645,0.015381747928427645
2025-04-15,2.75,0.12513259801234347,0.12513259801234347
2025-04-16,3.875,0.6190114233899647,0.6190114233899647
2025-04-20,2.375,-0.039493677113530266,-0.039493677113530266
2025-04-21,1.875,-0.2589953772813619,-0.2589953772813619
2025-04-22,3.75,0.5641359983480068,0.5641359983480068
2025-04-23,2.375,-0.039493677113530266,-0.039493677113530266
2025-04-24,2.0,-0.20411995223940402,-0.20411995223940402
2025-04-27,1.5,-0.42362165240723565,-0.42362165240723565
2025-04-28,1.5,-0.42362165240723565,-0.42362165240723565
2025-04-29,1.5,-0.42362165240723565,-0.42362165240723565
2025-05-01,3.25,0.3446342981801751,0.3446342981801751
2025-05-04,2.125,-0.1492445271974461,-0.1492445271974461
2025-05-05,1.625,-0.36874622736527773,-0.36874622736527773
2025-05-06,2.875,0.18000802305430139,0.18000802305430139
2025-05-07,2.125,-0.1492445271974461,-0.1492445271974461
2025-05-08,1.625,-0.36874622736527773,-0.36874622736527773
2025-05-11,1.125,-0.5882479275331094,-0.5882479275331094
2025-05-12,2.125,-0.1492445271974461,-0.1492445271974461
2025-05-14,0.875,-0.6979987776170252,-0.6979987776170252
2025-05-18,3.0,0.2348834480962593,0.2348834480962593
