Date,"Volatility of Returns (Session:London 0-7 ET, Interval:1m, Symbol:ZB)",ZScore wrt All Days,ZScore wrt Given Days
2025-04-22,7.5,-0.29134931184290314,-0.29134931184290314
2025-04-23,12.5,0.5756993647765272,0.5756993647765272
2025-04-24,6.0,-0.5514639148287322,-0.5514639148287322
2025-04-28,8.5,-0.11793957651901707,-0.11793957651901707
2025-04-29,8.0,-0.2046444441809601,-0.2046444441809601
2025-05-01,10.0,0.14217502646681202,0.14217502646681202
2025-05-05,4.0,-0.8982833854765043,-0.8982833854765043
2025-05-06,7.5,-0.29134931184290314,-0.29134931184290314
2025-05-07,6.5,-0.4647590471667892,-0.4647590471667892
2025-05-09,2.0,-1.2451028561242765,-1.2451028561242765
